ID,Median House Price
TX35,162670.0
PR16,249735.0
NY4,397814.0
OR1,339023.0
GA8,180517.0
MI2,208965.0
IA4,178591.0
ME1,290133.0
CT5,393249.0
IL17,170696.0
MA7,725730.0
WA8,624062.0
NY16,304861.0
TX10,330039.0
TN4,175151.0
LA4,167455.0
PR18,357107.0
CA47,222639.0
IA2,212135.0
OH2,228294.0
TX9,206829.0
LA3,157750.0
OK4,233098.0
MD3,551298.0
IL10,400018.0
MA5,814191.0
CT4,509442.0
NJ3,396206.0
MN4,458149.0
NY2,272494.0
IN7,204233.0
PR4,459375.0
CA38,265476.0
PR9,162962.0
SC5,244657.0
CA16,201994.0
TN6,165387.0
TX24,457906.0
OH3,234622.0
AZ8,211976.0
KY4,215872.0
WV2,220383.0
TN2,217367.0
NY11,464476.0
SC2,271275.0
VA10,604595.0
UT3,293768.0
GA13,337581.0
TX19,184743.0
AL2,182519.0
CO3,189915.0
CA33,1076685.0
VA3,216454.0
FL6,178373.0
IL18,241120.0
FL26,194431.0
TX25,312966.0
AL1,187486.0
TN9,148414.0
MI3,238447.0
MA8,386288.0
CA15,411228.0
MA9,454096.0
GA3,255346.0
VA9,182750.0
NY9,370478.0
NJ10,227383.0
CT3,388339.0
GA5,720687.0
CA3,347452.0
MD2,226774.0
FL15,232351.0
OH14,278397.0
SC3,156725.0
MI10,304692.0
WA4,237573.0
CA5,314624.0
CA32,251790.0
SC7,229938.0
FL17,361797.0
MS1,180613.0
MO8,221526.0
OH6,262328.0
FL21,552265.0
IL7,716637.0
WA10,282611.0
NV4,341755.0
CA21,378660.0
MO6,214254.0
NV3,353278.0
ME2,168556.0
NY8,583296.0
TX22,505893.0
OH16,410366.0
GA14,280412.0
AR1,160744.0
TX2,583189.0
GA9,155484.0
LA6,278993.0
FL13,296321.0
NY27,314470.0
MO2,492117.0
PR15,139389.0
KY1,220723.0
UT2,201431.0
VA4,260622.0
NY25,363523.0
NE3,178540.0
AR4,214089.0
GA12,199542.0
NH1,394472.0
AZ3,155122.0
WA3,244505.0
VA6,190405.0
SC6,148263.0
FL11,323717.0
TX1,241931.0
PR17,331098.0
NY13,345866.0
OH10,286811.0
IL13,204364.0
IL9,490978.0
MI7,198807.0
MI12,229817.0
NV2,279420.0
NY18,384311.0
PR5,297986.0
OH15,250536.0
IL5,599719.0
AL6,330872.0
KS2,187143.0
OH1,498613.0
OH7,176357.0
PR3,682894.0
WA2,283261.0
MS3,200620.0
NJ1,330999.0
AK1,361231.0
IL16,252139.0
WA1,475960.0
CA52,995353.0
FL1,310686.0
MN5,455656.0
ID1,216961.0
FL14,429960.0
MD5,352480.0
TX4,151818.0
CA10,270387.0
PR6,416068.0
AR2,183350.0
RI1,264444.0
CA50,252842.0
TX33,192891.0
ND1,240588.0
IA1,192960.0
TX15,177423.0
CA28,547561.0
CO7,472438.0
FL24,170156.0
TN5,380129.0
SC1,333097.0
CO6,443235.0
CO1,524169.0
FL5,186393.0
TN7,261408.0
FL20,154964.0
FL9,165345.0
CA36,223057.0
CA44,282924.0
NY5,288636.0
NJ5,432410.0
AR3,261466.0
CA6,254750.0
MI8,345287.0
IN1,307688.0
WI3,226823.0
TX17,170981.0
WI4,339609.0
CA53,314233.0
MA6,480885.0
MN6,278187.0
FL12,297778.0
IN9,200772.0
MA2,298196.0
MO4,150683.0
MO1,199789.0
OH5,218678.0
NJ2,286684.0
LA5,193788.0
WA9,463923.0
MI13,119902.0
PR2,142395.0
MN1,212496.0
CA25,337239.0
AZ2,401494.0
NY12,1112747.0
TX27,171845.0
WI7,173798.0
NJ8,396896.0
VA1,484253.0
WI8,223484.0
IL11,494887.0
GA7,536281.0
CA11,521878.0
VA2,439995.0
GA4,295340.0
WI2,469690.0
MI4,218717.0
NY21,207556.0
OK3,153086.0
CA45,526671.0
WI1,265896.0
